#Phrase	أقسام الكلم	إعراب	نوع الفعل
تسقُطُ أَورَاقُ الأَشْجارِ في الخريف.	فعل اسم اسم حرف اسم	فعل فاعل مضاف جار مجرور	مضارع+مرفوع فاعل مضاف جار مجرور
تأكل الشاة فولا و شعيرا. 	فعل اسم اسم حرف اسم	فعل فاعل مفعول عطف معطوف	مضارع+مرفوع فاعل مفعول عطف معطوف
يَوَدُّ عَلِيٌّ أَن يَلْعَبَ بالكرةِ.	فعل اسم حرف فعل حرف+اسم	فعل فاعل ناصب فعل جار+مجرور	مضارع+مرفوع فاعل ناصب مضارع+منصوب جار+مجرور
كن مؤَدباً كي تكونَ مَحْبوباً.	فعل اسم حرف فعل اسم		
ما انتهى الشتاء إلى الآن.	حرف فعل اسم حرف اسم		
ما سافر أخي إلى الآن.	حرف فعل اسم حرف اسم		
نم مُبكراً و استيقظ مبكراً.	فعل اسم حرف فعل اسم		
إِنْ تقربْ مِنَ النَّار تَشْعُر بحَرارتها.	حرف فعل حرف اسم فعل حرف+اسم	جازم فعل جار مجرور فعل جار+مجرور	جازم مضارع+مجزوم جار مجرور مضارع+مجزوم جار+مجرور
إن تجلس في مجرى الهواء تمرض.	حرف فعل حرف اسم اسم فعل	جازم فعل جار مجرور مضاف فعل	جازم مضارع+مجزوم جار مجرور مضاف مضارع+مجزوم
إِنْ تُتْلِف شيئاً لِغَيْرِكَ تَدْفعْ ثمنَهُ.	حرف فعل اسم حرف+اسم فعل اسم	جازم فعل مفعول جار+مجرور فعل مفعول	جازم مضارع+مجزوم مفعول جار+مجرور مضارع+مجزوم مفعول
إن تفتح نوافذ الحجرة يتجدد هواؤها.	حرف فعل اسم اسم فعل اسم	جازم فعل مفعول مضاف فعل فاعل	جازم مضارع+مجزوم مفعول مضاف مضارع+مجزوم فاعل
ذَهبْتُ إِلى الشَّجرةِ كي أَسْتَظِلَّ بِظِلِّهَا.	فعل حرف اسم حرف فعل حرف+اسم	فعل جار مجرور ناصب فعل جار+مجرور	ماضي جار مجرور ناصب مضارع+منصوب جار+مجرور
فَتَحْتُ نوافِذَ الحجرةِ كي يتجددَ هواؤها.	فعل اسم اسم حرف فعل اسم	فعل مفعول مضاف ناصب فعل فاعل	ماضي مفعول مضاف ناصب مضارع+منصوب فاعل
تَبيَّنَ لي أَنَّ هذا التاجرَ كذُوبٌ.	فعل حرف حرف اسم اسم اسم		
لا ينَام هذا الطفل إِلا قليلاً.	حرف فعل اسم اسم حرف اسم		
لا تبلع طعاماً قبل أَنْ تُجيدَ مَضْغَهُ.	حرف فعل اسم حرف حرف فعل اسم	جازم فعل مفعول زمان ناصب فعل مفعول	جازم مضارع+مجزوم مفعول زمان ناصب مضارع+منصوب مفعول
لا يَدَّخِرُ هذَا الرجلُ من مالِهِ شيئاً.	حرف فعل اسم اسم حرف اسم اسم		
يجِبُ عليكَ أَنْ تنظفَ أَسْنانك كلَّ يَوْمٍ.	فعل حرف حرف فعل اسم اسم اسم		
سَطَا الذِّئبُ على الْغَنَمِ فافترسَ واحدةً وفرَّ هارِباً.	فعل اسم حرف اسم فعل اسم فعل اسم		
لا يُجوزُ لِلإِنسانِ أَن يجلسَ في مَجْرَى الهواءِ.	حرف فعل حرف+اسم حرف فعل  حرف اسم اسم		
هبَّتِ العواصفُ ليلاً؛ فأَطْفأَتِ المصابيحَ وَاقْتَلَعَت بعضَ الأَشجارِ.			
يَتْعَبُ الإِنسانُ في صِغَرِهِ كي يستريحَ في كبره.	فعل اسم حرف اسم حرف فعل حرف اسم		
اُدخلْ البستانَ، ومتِّعْ نفسَكَ بِمنْظَرهِ، ولا تَعْبَثْ بأَزْهارِه وثِمارِهِ.			
امْتَنَعَ المريضُ عن الأَكل، وأَصبَحَ لا يَقْوَى على المشي.			
لا تُكْثِرْ مِن الكلام، ولا تَنْطِقْ بما لا تَعْلَم.			
جَنَى الْفلاَّحُ قطْنَه، وباعَهُ، ثمَّ اشْتَرى ببعض ثمنِهِ ما يَحْتاجُ إليه.			
اغسِلْ يَديكَ قبل الأكل وبعده؛ ونَظِّفْ أَسنانك، ولا تُدْخِل الطَّعامَ على الطعام.			
نظرَ الطفلُ إِلى الطَّائر وهو يُحلِّقُ في السماءِ، فأَحَبَّ أَنْ يَطِيرَ مثلَه.			

